        Frequency / GHz                Power Accepted/real
----------------------------------------------------------------------
                   3.395                      0.37226752
                 3.39521                       0.3726219
                 3.39542                      0.37297639
                 3.39563                      0.37333097
                 3.39584                      0.37368565
                 3.39605                      0.37404042
                 3.39626                      0.37439529
                 3.39647                      0.37475025
                 3.39668                       0.3751053
                 3.39689                      0.37546044
                  3.3971                      0.37581566
                 3.39731                      0.37617096
                 3.39752                      0.37652634
                 3.39773                      0.37688179
                 3.39794                      0.37723732
                 3.39815                      0.37759293
                 3.39836                       0.3779486
                 3.39857                      0.37830433
                 3.39878                      0.37866014
                 3.39899                        0.379016
                  3.3992                      0.37937192
                 3.39941                       0.3797279
                 3.39962                      0.38008394
                 3.39983                      0.38044002
                 3.40004                      0.38079616
                 3.40025                      0.38115234
                 3.40046                      0.38150857
                 3.40067                      0.38186483
                 3.40088                      0.38222114
                 3.40109                      0.38257749
                  3.4013                      0.38293386
                 3.40151                      0.38329027
                 3.40172                      0.38364671
                 3.40193                      0.38400318
                 3.40214                      0.38435967
                 3.40235                      0.38471618
                 3.40256                      0.38507271
                 3.40277                      0.38542925
                 3.40298                      0.38578581
                 3.40319                      0.38614238
                  3.4034                      0.38649896
                 3.40361                      0.38685555
                 3.40382                      0.38721214
                 3.40403                      0.38756873
                 3.40424                      0.38792531
                 3.40445                       0.3882819
                 3.40466                      0.38863847
                 3.40487                      0.38899504
                 3.40508                      0.38935159
                 3.40529                      0.38970813
                  3.4055                      0.39006465
                 3.40571                      0.39042115
                 3.40592                      0.39077763
                 3.40613                      0.39113408
                 3.40634                       0.3914905
                 3.40655                       0.3918469
                 3.40676                      0.39220326
                 3.40697                      0.39255958
                 3.40718                      0.39291586
                 3.40739                       0.3932721
                  3.4076                       0.3936283
                 3.40781                      0.39398445
                 3.40802                      0.39434055
                 3.40823                       0.3946966
                 3.40844                      0.39505259
                 3.40865                      0.39540853
                 3.40886                       0.3957644
                 3.40907                      0.39612021
                 3.40928                      0.39647596
                 3.40949                      0.39683163
                  3.4097                      0.39718724
                 3.40991                      0.39754277
                 3.41012                      0.39789822
                 3.41033                      0.39825359
                 3.41054                      0.39860888
                 3.41075                      0.39896408
                 3.41096                       0.3993192
                 3.41117                      0.39967422
                 3.41138                      0.40002916
                 3.41159                      0.40038399
                  3.4118                      0.40073872
                 3.41201                      0.40109336
                 3.41222                      0.40144788
                 3.41243                       0.4018023
                 3.41264                      0.40215661
                 3.41285                       0.4025108
                 3.41306                      0.40286488
                 3.41327                      0.40321884
                 3.41348                      0.40357268
                 3.41369                      0.40392639
                  3.4139                      0.40427997
                 3.41411                      0.40463342
                 3.41432                      0.40498674
                 3.41453                      0.40533992
                 3.41474                      0.40569296
                 3.41495                      0.40604586
                 3.41516                      0.40639862
                 3.41537                      0.40675122
                 3.41558                      0.40710368
                 3.41579                      0.40745598
                   3.416                      0.40780812
                 3.41621                       0.4081601
                 3.41642                      0.40851192
                 3.41663                      0.40886358
                 3.41684                      0.40921506
                 3.41705                      0.40956638
                 3.41726                      0.40991752
                 3.41747                      0.41026848
                 3.41768                      0.41061925
                 3.41789                      0.41096985
                  3.4181                      0.41132026
                 3.41831                      0.41167048
                 3.41852                       0.4120205
                 3.41873                      0.41237033
                 3.41894                      0.41271996
                 3.41915                      0.41306939
                 3.41936                      0.41341861
                 3.41957                      0.41376763
                 3.41978                      0.41411643
                 3.41999                      0.41446502
                  3.4202                      0.41481339
                 3.42041                      0.41516154
                 3.42062                      0.41550947
                 3.42083                      0.41585717
                 3.42104                      0.41620464
                 3.42125                      0.41655188
                 3.42146                      0.41689888
                 3.42167                      0.41724564
                 3.42188                      0.41759216
                 3.42209                      0.41793844
                  3.4223                      0.41828446
                 3.42251                      0.41863024
                 3.42272                      0.41897575
                 3.42293                      0.41932101
                 3.42314                      0.41966601
                 3.42335                      0.42001075
                 3.42356                      0.42035521
                 3.42377                       0.4206994
                 3.42398                      0.42104332
                 3.42419                      0.42138697
                  3.4244                      0.42173033
                 3.42461                      0.42207341
                 3.42482                       0.4224162
                 3.42503                       0.4227587
                 3.42524                       0.4231009
                 3.42545                      0.42344281
                 3.42566                      0.42378442
                 3.42587                      0.42412572
                 3.42608                      0.42446672
                 3.42629                       0.4248074
                  3.4265                      0.42514778
                 3.42671                      0.42548783
                 3.42692                      0.42582757
                 3.42713                      0.42616698
                 3.42734                      0.42650606
                 3.42755                      0.42684482
                 3.42776                      0.42718324
                 3.42797                      0.42752132
                 3.42818                      0.42785907
                 3.42839                      0.42819646
                  3.4286                      0.42853352
                 3.42881                      0.42887022
                 3.42902                      0.42920656
                 3.42923                      0.42954255
                 3.42944                      0.42987818
                 3.42965                      0.43021344
                 3.42986                      0.43054834
                 3.43007                      0.43088286
                 3.43028                      0.43121701
                 3.43049                      0.43155079
                  3.4307                      0.43188418
                 3.43091                      0.43221718
                 3.43112                       0.4325498
                 3.43133                      0.43288202
                 3.43154                      0.43321385
                 3.43175                      0.43354528
                 3.43196                      0.43387631
                 3.43217                      0.43420693
                 3.43238                      0.43453714
                 3.43259                      0.43486694
                  3.4328                      0.43519632
                 3.43301                      0.43552528
                 3.43322                      0.43585381
                 3.43343                      0.43618192
                 3.43364                       0.4365096
                 3.43385                      0.43683685
                 3.43406                      0.43716365
                 3.43427                      0.43749002
                 3.43448                      0.43781593
                 3.43469                       0.4381414
                  3.4349                      0.43846642
                 3.43511                      0.43879098
                 3.43532                      0.43911508
                 3.43553                      0.43943872
                 3.43574                      0.43976189
                 3.43595                       0.4400846
                 3.43616                      0.44040682
                 3.43637                      0.44072857
                 3.43658                      0.44104984
                 3.43679                      0.44137062
                   3.437                      0.44169091
                 3.43721                      0.44201071
                 3.43742                      0.44233002
                 3.43763                      0.44264882
                 3.43784                      0.44296713
                 3.43805                      0.44328492
                 3.43826                       0.4436022
                 3.43847                      0.44391897
                 3.43868                      0.44423522
                 3.43889                      0.44455095
                  3.4391                      0.44486615
                 3.43931                      0.44518083
                 3.43952                      0.44549497
                 3.43973                      0.44580857
                 3.43994                      0.44612163
                 3.44015                      0.44643415
                 3.44036                      0.44674612
                 3.44057                      0.44705754
                 3.44078                       0.4473684
                 3.44099                      0.44767871
                  3.4412                      0.44798845
                 3.44141                      0.44829762
                 3.44162                      0.44860622
                 3.44183                      0.44891425
                 3.44204                      0.44922171
                 3.44225                      0.44952857
                 3.44246                      0.44983486
                 3.44267                      0.45014055
                 3.44288                      0.45044565
                 3.44309                      0.45075016
                  3.4433                      0.45105406
                 3.44351                      0.45135736
                 3.44372                      0.45166005
                 3.44393                      0.45196213
                 3.44414                      0.45226359
                 3.44435                      0.45256444
                 3.44456                      0.45286466
                 3.44477                      0.45316425
                 3.44498                      0.45346321
                 3.44519                      0.45376154
                  3.4454                      0.45405923
                 3.44561                      0.45435627
                 3.44582                      0.45465267
                 3.44603                      0.45494842
                 3.44624                      0.45524352
                 3.44645                      0.45553796
                 3.44666                      0.45583173
                 3.44687                      0.45612484
                 3.44708                      0.45641729
                 3.44729                      0.45670906
                  3.4475                      0.45700015
                 3.44771                      0.45729056
                 3.44792                      0.45758029
                 3.44813                      0.45786933
                 3.44834                      0.45815768
                 3.44855                      0.45844533
                 3.44876                      0.45873228
                 3.44897                      0.45901853
                 3.44918                      0.45930408
                 3.44939                      0.45958891
                  3.4496                      0.45987302
                 3.44981                      0.46015642
                 3.45002                       0.4604391
                 3.45023                      0.46072105
                 3.45044                      0.46100227
                 3.45065                      0.46128275
                 3.45086                       0.4615625
                 3.45107                      0.46184151
                 3.45128                      0.46211977
                 3.45149                      0.46239728
                  3.4517                      0.46267404
                 3.45191                      0.46295005
                 3.45212                      0.46322529
                 3.45233                      0.46349977
                 3.45254                      0.46377348
                 3.45275                      0.46404642
                 3.45296                      0.46431859
                 3.45317                      0.46458997
                 3.45338                      0.46486058
                 3.45359                      0.46513039
                  3.4538                      0.46539942
                 3.45401                      0.46566765
                 3.45422                      0.46593508
                 3.45443                      0.46620172
                 3.45464                      0.46646754
                 3.45485                      0.46673256
                 3.45506                      0.46699677
