        Frequency / GHz                S1,1/abs,dB
----------------------------------------------------------------------
                   3.395                      -5.6973069
                 3.39521                      -5.7085516
               3.3954201                      -5.7198301
               3.3956299                      -5.7311431
               3.3958399                      -5.7424902
                 3.39605                      -5.7538719
                 3.39626                      -5.7652873
               3.3964701                      -5.7767365
               3.3966801                      -5.7882208
               3.3968899                      -5.7997406
                  3.3971                      -5.8112957
                 3.39731                      -5.8228849
               3.3975201                      -5.8345089
               3.3977301                      -5.8461697
               3.3979399                      -5.8578647
                 3.39815                      -5.8695953
                 3.39836                      -5.8813607
               3.3985701                      -5.8931624
               3.3987801                      -5.9050013
               3.3989899                      -5.9168751
                  3.3992                      -5.9287842
                 3.39941                       -5.940731
               3.3996201                      -5.9527137
               3.3998301                      -5.9647341
               3.4000399                       -5.976789
                 3.40025                      -5.9888822
                 3.40046                       -6.001012
               3.4006701                      -6.0131789
               3.4008801                      -6.0253821
               3.4010899                      -6.0376239
                  3.4013                      -6.0499029
                 3.40151                      -6.0622198
                 3.40172                      -6.0745742
               3.4019301                      -6.0869672
               3.4021399                      -6.0993981
               3.4023499                      -6.1118664
                 3.40256                      -6.1243729
                 3.40277                      -6.1369195
               3.4029801                      -6.1495024
               3.4031899                      -6.1621259
               3.4033999                      -6.1747892
                 3.40361                       -6.187489
                 3.40382                      -6.2002292
               3.4040301                      -6.2130094
               3.4042399                      -6.2258285
               3.4044499                      -6.2386876
                 3.40466                      -6.2515869
                 3.40487                      -6.2645262
               3.4050801                       -6.277506
               3.4052899                      -6.2905264
               3.4054999                      -6.3035856
                 3.40571                      -6.3166863
                 3.40592                      -6.3298277
               3.4061301                      -6.3430103
               3.4063399                      -6.3562348
               3.4065499                      -6.3694991
                 3.40676                      -6.3828069
                 3.40697                      -6.3961539
               3.4071801                      -6.4095437
               3.4073901                      -6.4229773
               3.4075999                      -6.4364512
                 3.40781                      -6.4499679
                 3.40802                      -6.4635262
               3.4082301                      -6.4771283
               3.4084401                       -6.490772
               3.4086499                      -6.5044598
                 3.40886                      -6.5181916
                 3.40907                      -6.5319644
               3.4092801                      -6.5457831
               3.4094901                      -6.5596435
               3.4096999                       -6.573549
                 3.40991                      -6.5874974
                 3.41012                      -6.6014915
