        Frequency / GHz                VSWR1/abs,linear
----------------------------------------------------------------------
                   3.395                       3.1576665
                 3.39521                       3.1518715
               3.3954201                       3.1460827
               3.3956299                       3.1403001
               3.3958399                       3.1345237
                 3.39605                       3.1287533
                 3.39626                       3.1229897
               3.3964701                       3.1172327
               3.3966801                       3.1114816
               3.3968899                       3.1057366
                  3.3971                       3.0999977
                 3.39731                       3.0942656
               3.3975201                       3.0885401
               3.3977301                       3.0828201
               3.3979399                        3.077107
                 3.39815                       3.0714003
                 3.39836                       3.0657004
               3.3985701                       3.0600065
               3.3987801                       3.0543187
               3.3989899                       3.0486376
                  3.3992                       3.0429634
                 3.39941                       3.0372951
               3.3996201                       3.0316334
               3.3998301                       3.0259776
               3.4000399                       3.0203294
                 3.40025                       3.0146871
                 3.40046                       3.0090511
               3.4006701                       3.0034218
               3.4008801                       2.9977995
               3.4010899                       2.9921831
                  3.4013                       2.9865735
                 3.40151                       2.9809701
                 3.40172                       2.9753736
               3.4019301                       2.9697833
               3.4021399                       2.9641996
               3.4023499                       2.9586227
                 3.40256                       2.9530527
                 3.40277                       2.9474884
               3.4029801                       2.9419319
               3.4031899                       2.9363812
               3.4033999                       2.9308368
                 3.40361                       2.9252999
                 3.40382                       2.9197694
               3.4040301                       2.9142451
               3.4042399                       2.9087279
               3.4044499                       2.9032172
                 3.40466                       2.8977128
                 3.40487                       2.8922152
               3.4050801                       2.8867242
               3.4052899                       2.8812398
               3.4054999                       2.8757629
                 3.40571                       2.8702921
                 3.40592                       2.8648281
               3.4061301                       2.8593707
               3.4063399                       2.8539197
               3.4065499                       2.8484761
                 3.40676                       2.8430385
                 3.40697                       2.8376084
               3.4071801                       2.8321846
               3.4073901                        2.826767
               3.4075999                       2.8213568
                 3.40781                       2.8159532
                 3.40802                       2.8105565
               3.4082301                       2.8051664
               3.4084401                       2.7997834
               3.4086499                       2.7944067
                 3.40886                       2.7890366
                 3.40907                       2.7836742
               3.4092801                       2.7783174
               3.4094901                       2.7729684
               3.4096999                       2.7676256
                 3.40991                       2.7622901
                 3.41012                       2.7569609
               3.4103301                       2.7516385
               3.4105401                       2.7463227
               3.4107499                       2.7410144
                 3.41096                       2.7357121
                 3.41117                       2.7304174
               3.4113801                       2.7251293
               3.4115901                       2.7198478
               3.4117999                       2.7145732
                 3.41201                       2.7093055
                 3.41222                       2.7040445
                 3.41243                        2.698791
               3.4126401                       2.6935438
               3.4128499                       2.6883033
               3.4130599                       2.6830693
                 3.41327                       2.6778426
                 3.41348                       2.6726228
               3.4136901                       2.6674098
               3.4138999                        2.662204
               3.4141099                       2.6570049
                 3.41432                       2.6518125
                 3.41453                       2.6466269
               3.4147401                       2.6414481
